"C_Name","T_Name","Substitu","User_","PowerSum_","無老年人口戶數比例","戶長平均年齡"
"新北市","板橋區","華東里",4644.87088536,2851278.57648,81.05,51.14
"新北市","板橋區","信義里",1540.16936012,988944.59947,74.76,53.85
"新北市","板橋區","浮洲里",2613.61863992,1273008.79961,74.65,55.51
"新北市","板橋區","華中里",1673.73346552,891899.254844,83.39,52.75
"新北市","板橋區","僑中里",1247.83162242,282845.069563,86.25,52.07
"新北市","板橋區","中山里",2505.57236236,1208271.90429,75.76,53.7
"新北市","板橋區","復興里",630.78986152,387617.797308,77.29,54.88
"新北市","板橋區","大安里",720.329928129,375680.164655,74.61,54.27
"新北市","板橋區","福安里",699.376721918,326549.14661,73.9,55.16
"新北市","板橋區","聚安里",2550.55289298,1193748.80913,80.19,52.95
"新北市","板橋區","龍安里",747.784199032,771877.5549,74.27,55.03
"新北市","板橋區","崑崙里",3656.43002251,2236832.36534,84.48,49.76
"新北市","板橋區","溪洲里",2879.96649259,1561211.47831,79.55,53.55
"新北市","三重區","二重里",1262.78353168,838663.227372,74.4,55.02
"新北市","三重區","頂崁里",1634.432213,4215204.17986,79.31,53.28
"新北市","三重區","谷王里",682.579217634,1252733.86785,66.85,57.93
"新北市","三重區","中興里",3629.06472721,7169168.16658,77.42,54.27
"新北市","三重區","德厚里",385.943987939,923994.926413,62.64,58.48
"新北市","三重區","成功里",3678.86785135,1823970.58159,83.3,50.3
"新北市","三重區","福祉里",2809.76363489,1623244.52169,81.24,50.94
"新北市","三重區","福民里",1570.01464587,979438.460671,74.94,54.26
"新北市","三重區","過田里",3424.49739791,1969200.31843,83.71,52.45
"新北市","三重區","錦田里",490.922109527,298123.047421,71.96,56.06
"新北市","三重區","重明里",1465.86423358,974159.617981,74.5,53.76
"新北市","三重區","光田里",2367.90659804,1189496.80028,74.96,54.09
"新北市","三重區","光陽里",3052.54299522,1975319.42844,78.41,53.41
"新北市","三重區","田心里",1883.04156626,1058973.79211,72.61,54.81
"新北市","三重區","福田里",932.875949076,683292.266556,79.84,53.61
"新北市","三重區","田中里",2508.69138312,1443763.5796,78.6,53.02
"新北市","三重區","田安里",3078.04296794,1814912.37321,77.93,53.38
"新北市","三重區","三民里",1645.99403448,920324.361477,78.32,53.24
"新北市","三重區","光明里",4649.05030557,2808289.67398,81.22,51.91
"新北市","三重區","光正里",737.019906253,338938.758397,86.28,48.52
"新北市","三重區","同安里",718.616914036,790313.731813,75.26,54.58
"新北市","三重區","同慶里",1214.83612162,629662.557387,75.44,54.05
