"C_Name","T_Name","Substitu","group","io","User_","PowerSum_","無老年人口戶數比例","戶長平均年齡","所得中位數"
"新北市","板橋區","介壽里","A","inner",0.681,0.702,0.485,0.591,0.289
"新北市","板橋區","新埔里","A","inner",0.661,0.696,0.516,0.572,0.312
"新北市","板橋區","華江里","A","outter",0.801,0.791,0.286,0.346,0.454
"新北市","板橋區","江翠里","A","outter",0.742,0.777,0.439,0.547,0.28
"新北市","板橋區","純翠里","A","inner",0.696,0.707,0.399,0.481,0.307
"新北市","板橋區","溪頭里","A","inner",0.746,0.731,0.394,0.49,0.284
"新北市","板橋區","聯翠里","A","inner",0.725,0.742,0.376,0.433,0.458
"新北市","板橋區","宏翠里","A","inner",0.756,0.753,0.266,0.304,0.341
"新北市","板橋區","仁翠里","A","inner",0.649,0.659,0.456,0.576,0.215
"新北市","板橋區","新翠里","A","inner",0.777,0.771,0.282,0.42,0.355
"新北市","板橋區","吉翠里","A","inner",0.711,0.691,0.331,0.496,0.238
"新北市","板橋區","德翠里","A","inner",0.762,0.73,0.237,0.338,0.366
"新北市","板橋區","滿翠里","A","inner",0.678,0.674,0.478,0.595,0.221
"新北市","板橋區","明翠里","A","inner",0.718,0.699,0.464,0.554,0.249
"新北市","板橋區","松翠里","A","inner",0.707,0.73,0.428,0.537,0.293
"新北市","板橋區","柏翠里","A","inner",0.756,0.766,0.398,0.435,0.344
"新北市","板橋區","龍翠里","A","inner",0.751,0.749,0.355,0.457,0.317
"新北市","板橋區","華翠里","A","inner",0.71,0.711,0.368,0.478,0.317
"新北市","板橋區","忠翠里","A","outter",0.828,0.837,0.264,0.355,0.565
"新北市","板橋區","嵐翠里","A","inner",0.663,0.679,0.447,0.556,0.247
"新北市","板橋區","文翠里","A","inner",0.747,0.747,0.488,0.566,0.281
"新北市","板橋區","青翠里","A","inner",0.652,0.69,0.435,0.523,0.268
"新北市","板橋區","懷翠里","A","inner",0.75,0.725,0.393,0.502,0.254
"新北市","板橋區","福翠里","A","inner",0.627,0.634,0.538,0.611,0.24
"新北市","板橋區","港嘴里","A","inner",0.761,0.773,0.378,0.482,0.278
"新北市","板橋區","振興里","A","inner",0.749,0.727,0.464,0.569,0.257
"新北市","板橋區","振義里","A","inner",0.735,0.698,0.427,0.518,0.286
"新北市","板橋區","光復里","A","inner",0.674,0.636,0.414,0.509,0.316
"新北市","板橋區","埔墘里","A","inner",0.757,0.752,0.362,0.459,0.31
"新北市","板橋區","長壽里","A","inner",0.724,0.731,0.49,0.625,0.27
"新北市","板橋區","福壽里","A","inner",0.693,0.667,0.386,0.51,0.318
"新北市","板橋區","海山里","A","outter",0.765,0.788,0.348,0.429,0.385
"新北市","板橋區","九如里","A","inner",0.682,0.682,0.471,0.567,0.261
"新北市","板橋區","玉光里","A","inner",0.731,0.726,0.361,0.431,0.291
"新北市","板橋區","光仁里","A","inner",0.693,0.719,0.497,0.583,0.24
"新北市","板橋區","埤墘里","A","outter",0.72,0.707,0.375,0.45,0.324
"新北市","板橋區","永安里","A","inner",0.676,0.657,0.393,0.46,0.309
"新北市","板橋區","雙玉里","A","inner",0.732,0.705,0.414,0.486,0.294
"新北市","板橋區","廣新里","A","outter",0.669,0.669,0.458,0.558,0.272
"新北市","板橋區","深丘里","A","outter",0.81,0.8,0.289,0.359,0.507
"新北市","板橋區","香丘里","A","inner",0.684,0.683,0.386,0.503,0.303
"新北市","板橋區","西安里","A","inner",0.675,0.65,0.483,0.567,0.298
"新北市","板橋區","東丘里","A","inner",0.756,0.764,0.456,0.533,0.312
"新北市","板橋區","長安里","A","inner",0.71,0.698,0.301,0.41,0.324
"新北市","板橋區","福丘里","A","outter",0.763,0.79,0.314,0.351,0.594
"新北市","板橋區","福祿里","A","inner",0.743,0.688,0.387,0.479,0.362
"新北市","板橋區","民族里","A","inner",0.712,0.689,0.358,0.401,0.377
"新北市","板橋區","國泰里","A","outter",0.713,0.655,0.42,0.508,0.359
"新北市","板橋區","福德里","A","inner",0.732,0.702,0.493,0.543,0.333
"新北市","板橋區","景星里","A","inner",0.75,0.756,0.418,0.489,0.361
"新北市","板橋區","福星里","A","outter",0.766,0.741,0.463,0.554,0.397
"新北市","板橋區","鄉雲里","A","inner",0.774,0.768,0.413,0.471,0.297
"新北市","板橋區","廣德里","A","inner",0.786,0.753,0.375,0.466,0.337
"新北市","板橋區","大豐里","A","inner",0.714,0.692,0.482,0.584,0.251
"新北市","板橋區","重慶里","A","outter",0.827,0.8,0.297,0.43,0.297
"新北市","板橋區","仁愛里","A","inner",0.678,0.64,0.514,0.645,0.283
"新北市","板橋區","和平里","A","inner",0.696,0.688,0.221,0.172,0.567
"新北市","板橋區","廣福里","A","inner",0.745,0.743,0.309,0.433,0.29
"新北市","板橋區","華興里","A","outter",0.692,0.664,0.369,0.481,0.359
"新北市","板橋區","華貴里","A","inner",0.661,0.635,0.495,0.562,0.248
"新北市","板橋區","華德里","A","outter",0.799,0.746,0.328,0.399,0.344
"新北市","板橋區","華東里","A","outter",0.826,0.809,0.336,0.402,0.446
"新北市","板橋區","信義里","A","inner",0.691,0.688,0.447,0.521,0.274
"新北市","板橋區","浮洲里","A","inner",0.755,0.717,0.449,0.594,0.234
